icd_code,n,d,rate
4554,0,29,0.0
4555,0,23,0.0
4556,0,11,0.0
4557,0,1,0.0
4558,0,7,0.0
4561,0,1,0.0
4564,0,15,0.0
4570,0,1,0.0
4571,0,6,0.0
4572,0,1,0.0
4580,1,36,0.027777777777777776
45829,0,1,0.0
4589,2,38,0.05263157894736842
4590,0,5,0.0
4592,0,1,0.0
45930,0,1,0.0
45981,0,21,0.0
45989,0,11,0.0
4599,1,5,0.2
460,0,2,0.0
4610,0,4,0.0
4612,0,1,0.0
4619,2,110,0.01818181818181818
462,13,908,0.014317180616740088
463,2,72,0.027777777777777776
46400,0,13,0.0
46410,0,2,0.0
46430,0,1,0.0
4650,0,1,0.0
4659,5,611,0.008183306055646482
4660,1,182,0.005494505494505495
4719,0,1,0.0
4720,0,4,0.0
4730,0,1,0.0
4732,0,2,0.0
4739,1,78,0.01282051282051282
47411,0,1,0.0
475,3,48,0.0625
4770,0,1,0.0
4778,0,1,0.0
4779,0,23,0.0
47819,2,59,0.03389830508474576
47824,0,1,0.0
47825,0,1,0.0
47829,0,4,0.0
47830,0,1,0.0
47831,0,1,0.0
4785,0,3,0.0
4786,0,1,0.0
4789,0,1,0.0
4802,0,1,0.0
4809,0,1,0.0
486,11,458,0.024017467248908297
4870,1,1,1.0
4871,2,300,0.006666666666666667
4878,0,1,0.0
48882,0,6,0.0
490,0,113,0.0
49120,0,1,0.0
49121,4,133,0.03007518796992481
49122,0,3,0.0
4920,0,1,0.0
4928,0,3,0.0
49322,0,1,0.0
49390,1,82,0.012195121951219513
49391,0,2,0.0
49392,7,729,0.009602194787379973
4940,0,2,0.0
4959,0,1,0.0
496,3,65,0.046153846153846156
5060,0,1,0.0
5070,0,1,0.0
5082,0,12,0.0
5100,0,1,0.0
5109,0,4,0.0
5110,0,9,0.0
51181,0,1,0.0
51189,0,1,0.0
5119,1,32,0.03125
5121,0,1,0.0
51289,0,5,0.0
514,0,1,0.0
515,0,4,0.0
5172,0,1,0.0
5178,0,1,0.0
5181,0,5,0.0
5184,0,3,0.0
51881,0,1,0.0
51882,0,4,0.0
51889,0,1,0.0
51900,0,2,0.0
51901,0,1,0.0
51902,0,1,0.0
51909,1,10,0.1
51911,0,14,0.0
51919,0,3,0.0
5198,0,1,0.0
5199,0,38,0.0
5206,0,4,0.0
52100,0,34,0.0
52109,1,18,0.05555555555555555
52181,0,5,0.0
5220,0,4,0.0
5224,0,90,0.0
5225,3,65,0.046153846153846156
52300,0,1,0.0
52310,0,11,0.0
52311,0,1,0.0
52330,0,1,0.0
52331,0,6,0.0
52333,0,2,0.0
52340,0,1,0.0
5238,0,6,0.0
5239,0,2,0.0
52460,0,16,0.0
52462,0,6,0.0
52469,0,14,0.0
5258,0,2,0.0
5259,1,350,0.002857142857142857
5264,0,4,0.0
5265,0,3,0.0
52689,0,1,0.0
5272,1,58,0.017241379310344827
5275,0,3,0.0
5277,0,6,0.0
5278,0,1,0.0
52800,0,2,0.0
5282,0,21,0.0
5283,1,18,0.05555555555555555
5285,1,11,0.09090909090909091
5289,0,46,0.0
5290,0,2,0.0
5291,0,1,0.0
5293,0,1,0.0
5296,0,5,0.0
5298,0,4,0.0
5299,0,1,0.0
53010,0,7,0.0
53011,0,2,0.0
53012,0,1,0.0
53013,0,2,0.0
53019,0,9,0.0
5303,0,4,0.0
5304,1,1,1.0
5305,1,11,0.09090909090909091
5306,0,1,0.0
5307,0,6,0.0
53081,2,127,0.015748031496062992
53087,0,1,0.0
53290,0,1,0.0
53390,0,5,0.0
53500,0,2,0.0
53530,0,4,0.0
53540,0,3,0.0
53550,1,93,0.010752688172043012
53570,0,2,0.0
5362,5,18,0.2777777777777778
5363,4,31,0.12903225806451613
53640,1,35,0.02857142857142857
53642,1,11,0.09090909090909091
53649,4,58,0.06896551724137931
5368,0,7,0.0
5369,0,1,0.0
53782,0,1,0.0
53789,0,1,0.0
53909,0,10,0.0
5409,1,11,0.09090909090909091
541,0,1,0.0
55010,0,6,0.0
55011,1,1,1.0
55090,0,69,0.0
55093,0,1,0.0
55120,0,1,0.0
5521,0,3,0.0
55220,1,4,0.25
55229,0,1,0.0
55300,0,3,0.0
5531,0,32,0.0
55320,2,17,0.11764705882352941
55321,0,4,0.0
55329,0,4,0.0
5533,1,6,0.16666666666666666
5538,0,1,0.0
5550,0,9,0.0
5559,4,85,0.047058823529411764
5562,0,3,0.0
5566,0,2,0.0
5569,0,27,0.0
5570,0,2,0.0
5571,1,2,0.5
5589,6,478,0.012552301255230125
5600,0,2,0.0
5601,0,1,0.0
56032,0,2,0.0
5609,1,19,0.05263157894736842
56210,0,5,0.0
56211,4,213,0.018779342723004695
56400,10,368,0.02717391304347826
56409,0,3,0.0
5641,0,16,0.0
5647,0,1,0.0
5650,0,29,0.0
5651,0,4,0.0
566,3,90,0.03333333333333333
56722,0,2,0.0
56782,1,4,0.25
56881,0,2,0.0
56889,0,1,0.0
5691,0,7,0.0
5693,2,161,0.012422360248447204
56941,0,2,0.0
56942,8,111,0.07207207207207207
56949,0,10,0.0
5695,0,2,0.0
56960,0,5,0.0
56962,0,2,0.0
56969,2,39,0.05128205128205128
56981,0,2,0.0
56982,0,2,0.0
56983,0,3,0.0
56989,0,33,0.0
5699,1,3,0.3333333333333333
570,0,4,0.0
5711,0,2,0.0
5712,3,15,0.2
5713,0,1,0.0
57142,0,1,0.0
5715,1,33,0.030303030303030304
5718,0,8,0.0
5720,0,1,0.0
5722,1,2,0.5
5724,0,1,0.0
5728,2,5,0.4
5733,0,5,0.0
5738,0,5,0.0
5739,0,6,0.0
57400,0,1,0.0
57420,6,134,0.04477611940298507
57450,0,2,0.0
5750,1,3,0.3333333333333333
57510,0,1,0.0
57511,0,1,0.0
5756,0,1,0.0
5758,1,1,1.0
5759,0,1,0.0
5761,0,1,0.0
5768,0,3,0.0
5770,2,36,0.05555555555555555
5771,0,19,0.0
5772,0,2,0.0
5779,0,1,0.0
5780,1,41,0.024390243902439025
5781,1,46,0.021739130434782608
5789,0,60,0.0
5790,0,2,0.0
5791,0,1,0.0
5798,0,1,0.0
5819,0,3,0.0
5839,0,4,0.0
5849,0,35,0.0
5852,0,1,0.0
5853,0,4,0.0
5854,0,1,0.0
5855,0,3,0.0
5856,8,108,0.07407407407407407
5859,0,21,0.0
586,0,5,0.0
5881,0,1,0.0
5889,0,5,0.0
59010,0,1,0.0
59080,10,270,0.037037037037037035
591,3,70,0.04285714285714286
5920,13,499,0.026052104208416832
5921,5,196,0.025510204081632654
5932,0,3,0.0
5934,0,1,0.0
5935,0,3,0.0
59389,0,2,0.0
5939,1,33,0.030303030303030304
5941,0,3,0.0
5950,1,8,0.125
5951,0,2,0.0
5959,0,65,0.0
5960,0,1,0.0
5964,0,1,0.0
59654,0,3,0.0
59682,0,1,0.0
59683,0,9,0.0
59689,0,6,0.0
5970,0,1,0.0
59780,0,54,0.0
5989,0,5,0.0
5990,23,1583,0.014529374605180037
5992,0,1,0.0
5993,0,1,0.0
5995,0,1,0.0
59960,0,1,0.0
59969,0,1,0.0
59970,10,266,0.03759398496240601
59971,0,7,0.0
59972,0,3,0.0
60000,0,20,0.0
60001,0,2,0.0
6003,0,1,0.0
60090,0,1,0.0
6010,1,12,0.08333333333333333
6011,0,1,0.0
6019,0,20,0.0
6038,0,5,0.0
6039,0,10,0.0
60490,0,107,0.0
60499,0,1,0.0
605,0,6,0.0
6071,0,18,0.0
6072,0,8,0.0
6073,0,20,0.0
60782,0,1,0.0
60783,0,3,0.0
60784,0,3,0.0
60789,0,16,0.0
6079,1,17,0.058823529411764705
60820,1,8,0.125
6084,1,14,0.07142857142857142
60882,0,2,0.0
60883,0,3,0.0
60886,1,9,0.1111111111111111
60889,0,15,0.0
6089,0,121,0.0
6100,0,4,0.0
6101,0,1,0.0
6110,5,53,0.09433962264150944
6111,0,1,0.0
61171,0,45,0.0
61172,0,22,0.0
61179,0,4,0.0
6141,0,4,0.0
6142,0,1,0.0
6146,0,1,0.0
6149,1,63,0.015873015873015872
6150,0,1,0.0
6160,0,24,0.0
61610,3,59,0.05084745762711865
6162,0,11,0.0
6163,1,32,0.03125
6164,2,46,0.043478260869565216
61650,0,1,0.0
61689,0,2,0.0
6170,0,1,0.0
6171,0,2,0.0
6178,0,1,0.0
6179,1,17,0.058823529411764705
61800,0,2,0.0
61802,0,1,0.0
61804,0,1,0.0
6181,0,6,0.0
6201,0,3,0.0
6202,3,205,0.014634146341463415
6205,1,9,0.1111111111111111
6208,1,3,0.3333333333333333
6209,1,4,0.25
6210,0,3,0.0
6218,0,1,0.0
6227,0,1,0.0
6230,1,2,0.5
6232,0,1,0.0
6235,0,35,0.0
6238,2,265,0.007547169811320755
6239,0,4,0.0
6245,0,1,0.0
6248,0,9,0.0
6249,0,1,0.0
6250,0,6,0.0
6252,0,2,0.0
6253,0,39,0.0
6256,0,1,0.0
6258,0,10,0.0
6259,1,255,0.00392156862745098
6260,0,1,0.0
6262,0,28,0.0
6264,0,4,0.0
6266,0,1,0.0
6267,0,1,0.0
6268,0,74,0.0
6269,0,4,0.0
6270,0,2,0.0
6271,0,10,0.0
6273,0,1,0.0
6283,0,1,0.0
6288,0,1,0.0
62989,0,1,0.0
6318,0,1,0.0
632,0,25,0.0
63310,0,4,0.0
63380,0,1,0.0
63390,0,28,0.0
63491,0,49,0.0
63492,0,63,0.0
63510,0,1,0.0
63511,0,5,0.0
63512,0,3,0.0
63571,0,1,0.0
63591,1,14,0.07142857142857142
63791,0,1,0.0
6390,1,1,1.0
6391,0,4,0.0
64003,1,129,0.007751937984496124
64083,0,50,0.0
64093,0,111,0.0
64103,0,1,0.0
64113,0,1,0.0
64123,0,1,0.0
64193,1,41,0.024390243902439025
64203,0,2,0.0
64234,0,2,0.0
64294,0,1,0.0
64303,2,87,0.022988505747126436
64313,0,18,0.0
64323,0,5,0.0
64613,0,1,0.0
64614,0,2,0.0
64624,0,1,0.0
64653,0,6,0.0
64663,0,25,0.0
64664,1,3,0.3333333333333333
64683,0,2,0.0
64763,0,6,0.0
64783,0,3,0.0
64803,0,4,0.0
64813,0,1,0.0
64823,0,1,0.0
64833,0,1,0.0
64843,0,3,0.0
64844,0,3,0.0
64863,0,1,0.0
64893,7,461,0.015184381778741865
64894,0,22,0.0
64943,0,1,0.0
64953,0,13,0.0
64973,0,2,0.0
65143,0,1,0.0
65413,1,2,0.5
65414,0,1,0.0
65443,0,2,0.0
65444,0,1,0.0
65573,0,13,0.0
65683,0,8,0.0
65973,0,1,0.0
66624,0,7,0.0
66704,0,1,0.0
66714,0,2,0.0
66923,0,12,0.0
